,Dhulm,ظلم,Injustice,Usurping others’ rights; not giving proper recompense in an exchange by way of any illegal act or coercion.
,Dinar,دينار,Dinar,A gold coin used by Muslims throughout Islamic history. The standard mass of the dinar that is referred to in fiqh is one mithqal (approximately 4.25g).
,Dirasat Al Jadwa Al Iqtisadiya,دراسة الجدوى الافتراضية,Feasibility study,A comprehensive analysis of a project's economics used by the banking industry for financing purposes.
,Diya,دية,Compensation,The compensation paid by one who commits manslaughter or unintentional homicide to the relatives of the deceased.
F,Phonetic Spelling,Arabic,English,Definition
,Faqih,فقيه,Muslim jurist,A Muslim who is an expert in fiqh; a Muslim who is knowledgeable of the rules of the Shari’a and knows how these rules are related to the source texts upon which they are based.
,Faqir,فقير,Destitute,"One who lacks the means to support himself, who has neither the wealth nor the skills required to do so."
,Fardh,فرض,Obligatory,"Compulsory or obligatory religious duty, the denial or omission of which is considered a sin."
,Fardh Kifaya,فرض كفاية,Collective obligation,"A duty or obligation that extends collectively to the Muslim community, but not to specific individuals. If no one carries out this obligation, then it is the collective responsibility of the entire communityto appoint individuals to perform such services. In the case of Islamic law and finance, it is the obligation of Shari’a scholars to perform the duty on behalf of the community."
,Fasid,فاسد,"Unsound, foul, not viable",An impermissible term in a contract that renders the contract invalid.
,Faskh,فسخ,Dissolution of a contract,"A term used by the classical fuqaha to refer to the dissolution of a contract or agreement. It has been described as the cancellation of a contract, such that affairs return to the state in which they were before the closing of the contract, without any addition or subtraction. Many of the classical fuqaha' apply the term to instances in which a previously valid (sahih) contract is cancelled voluntarily by the contractual parties, such as in iqalah, khiyar al`ayb (option to return in case of a defect) and khiyar al shart (stipulated option of return), and use the term infisakh for cancellations that occur outside of the will of each of the contractual parties – such as the cancellation of a sale contract when the sale item is destroyed, before the seller can hand it over to the purchaser or the dissolution of certain partnerships upon the death of one of the participating parties."
,Fatwa,فتوى,Religious opinion concerning Islamic law,A formal response issued by an expert faqih.
,Fiqh,فقه,Islamic jurisprudence,"The practical jurisprudence/science of the Shari’a or human articulations of divine rules encompassing law and ethics. Fiqh completes the Shari’a since it provides supplemental legal reasoning, where direct rules are not available in the Shari’a."
,Fiqh Al Muamalat,فقه  المعاملات,Transactional jurisprudence,Islamic discipline concerned with the jurisprudence of financial transactions.
,Fuduli,فضولي,Uncommissioned agent,"Agent is described as ‘fuduli’ whenever it transacts (e. g. sells, rents, etc.) with someone else’s property without the permission of the owner through a formal agreement of agency. For example, if a person were to negotiate and “close” a deal with a buyer in which he sold some machinery without the owner of the machinery having made him his wakeel (authorized representative) the ‘seller’ would be described as fuduli."
,Fuquha,فقهاء,Jurists,Qualified specialists in fiqh or Islamic jurisprudence.
G,Phonetic Spelling,Arabic,English,Definition
,Ghubn,غبن,Deception,Price deception (where the sale price is much greater than the market price and the buyer is reliant on the honesty of the seller). This may lead to cancellation of contract.
,Aqd Ghair Mulzim,عقد غير ملزم,Non-binding contract,A non-binding contract which any party has the right to revoke without the consent of the other.
,Gharar,غرر,Contractual ambiguity,"An element of ambiguity or ignorance either through ignorance of an essential element of the goods, the price, or through faulty description of the goods, in which one or both parties stand to be deceived."
,Gharim,غارم,A debtor (who does not possess the funds to pay his debt),"One whose funds, after repayment of a debt, would not equal the nisab, according to the Hanifi jurists. The Shafi`i and Maliki jurists divide the gharimun into two types: those who incurred debts for their own benefit and those who incurred debts for the benefit of others. The gharimun are one of the eight groups mentioned in the Qu’ran as legitimate recipients of zakat funds."
,Ghasb,غصب,Wrongful seizure of property,The wrongful appropriation of property by force.
,Ghasib,غاصب,Usurper,Usurper of property of others.
,Al Ghunm,الغُنم,Gain may be realised only when there is a risk of loss,This Shari’a maxim provides the rationale behind the principle that earning profit can only be legitimised by engaging in a risk sharing economic venture and thereby contributing to the economy. See also ‘al kharaj bil daman’.
H,Phonetic Spelling,Arabic,English,Definition
,Hamil Hisab Istithmar,حامل حساب الاستثمار,Investment account holder,"An investor who places funds with an Islamic bank for investment purposes on a profit and loss sharing mudaraba basis. An Islamic investment account offers no capital guarantee and no returns/distribution guarantee. Returns are derived from the profit earned on the investment less management/ mudarib fees, profit equalisation reserve (PER) and investment risk reserve (IRR) extractions. Funds can be placed at different maturities with the returns varying based on tenure. IAHs can be classified into restricted (RIAH or R-PSIA) and unrestricted types (UIAH or U-PSIA)."
,Habal Al Habala,حبل الحبلة,Uncertain outcome agreement,"A type of sale practised by the Arabs during the Jahiliyyah, in which the agreement between the two transacting parties depended on a pregnant she- camel giving birth to a female calf that would subsequently become pregnant itself. The habal al habala transaction was prohibited by the Prophet, according to several well-known reports, ostensibly because of the extreme uncertainty (see ‘gharar’) in the essence of the contract, given that neither of the contractual parties could be even remotely certain that a pregnant she-camel would successfully give birth to a another she-camel, which would subsequently mature and become pregnant itself."
,Hadith,حديث,Report of the sayings or actions of the Prophet Muhammad (pbuh) or his companions,"A report of an utterance, deed, affirmation or characteristic of the Prophet Muhammad (pbuh). The ahadith are the source texts by which the Sunnah is preserved. Plural: ahadith."
,Al Hajz Ala Al Ruhunat Al Aqariya,الحجز على الرهونات العقارية,Foreclosure,The legal process by which a mortgagee obtains a court ordered termination of a mortgagor's equitable right of redemption.
,Halal,حلال,Lawful,A deed permitted by Allah. Antonym: haram.
,Hamish Jiddiya,هامش جدية,Security deposit,"Collateral given for the promise to purchase. If the buyer does not proceed to purchase, the seller can demand compensation for the actual damage. If the collateral is higher, the buyer receives an amount back; if the actual damage is higher, the the seller can demand additional compensation above the collateral."
,Haqq Ash Shufa,حق الشفعة,Right ofpre-emption or right of first refusal,"The right of pre-emption in sales transactions; for example, in a real estate sale, a neighbour will have the right of first refusal; in some cases, the neighbour will have the right to force the seller to sell him all or part of the real estate in the event of a sale."
,Haqq,حق,Fiscal right,"A term signifying a right that a party possesses, for example the creditor’s right to payment."
,Haqq Maliy,حق مالي,Fiscal right,"Rights relating to financial assets/wealth, such as haqq dayn (debt rights) and haq tamalluk (ownership rights)."
,Haqq Tamalluk,حق تملك,Right of ownership,A tradable asset in the form of ownership rights.
,Haram,حرام,Unlawful,"Impermissible, unlawful. Antonym: halal."
,Hawala,حوالة,Debt transfer,"An agreement whereby a debtor is freed from the obligation to repay a debt by a third party becoming responsible for it, or the transfer of the claim of a debt shifting from one person to another. The jurists of the Hanafi madhhab divide hawala into two categories: unrestricted (mutlaqa) and restricted (muqayyada), in which the final payment must come from the funds of the original debtor, whether from some debt that someone owes him or some funds that are in the possession of the party to which he refers them."
,Hawl,حول,Lunar year,"A term used by jurists to describe the amount of time that must pass before a Muslim in possession of funds equalling or exceeding the exemption limit (nisab) must pay zakat on his wealth. In the case of cash, gold and silver, it is one Islamic year (i.e. a lunar year of approximately 354 days)."
,Hiba,هبة,Gift,A gift donated without expectation of a return or benefit.
,Hila,حيلة,Legal stratagem,"Ruses used in transactions to circumvent basic Islamic legal prohibitions. A transaction structured to appear permissible, but which in fact circumvents the Shari’a. For example, a contract of sale that is matched to a contract selling the same goods back to the original seller at a higher price. The two sales are individually permissible but when combined together are, in substance, a loan of money with an increment/interest."
,Himaya Tijariya,حماية تجارية,Protectionism,Restraining trade between states to prevent foreign takeover of domestic markets.
,Hisba,حسبة,Marketplace regulation,"A term used to describe marketplace regulation, which is carried out by  the Islamic authority (often called the muhtasib). Historically, various Islamic rulers have undertaken this duty, supervising activities ranging from the inspection of eateries for sanitary conditions to the investigation of fraud."
,Hissabat Al Wadae Bi Nidham Al Murabaha Fi Assela Al Awaliya,حسابات الودائع بنظام المرابحة في السلع الأولية,Commodity murabaha deposit,A Shari’a-compliant investment deposit whereby deposits are invested in the buying and selling of commodities.
,Hissab Khas,حساب خاص,Escrow account,A trust account held in a borrower's name to pay obligations such as property taxes and insurance premiums.
,Hukum,حكم,Ruling,"Plural: ahkam. In Fiqh, refers to the Shari'a classification of all acts into one of five categories e. g. obligatory (wajib/fard), recommended (mustahabb), neutral/ permissible (mubah), reprehensible (makruh), or forbidden (haram)."
,Hukm Sharee,حكم شرعي,A Shari’a ruling,"Law, value, ordinance or ruling of the Shari’a (e.g. obligatory, recommendable, neutral, reprehensible or forbidden) associated with any action."
I,Phonetic Spelling,Arabic,English,Definition
,Ibaha Asliya,إباحة أصلية,Presumed permissibility,"The idea that all economic activities that are not prohibited by the original sources of Shari’a, i.e. the Qu'ran and the Sunnah, are presumed to be permissible."
,Ibraa,إبراء,Discharge,"An act by a person to withdraw his rights, such as those to collect payment from a person who has the obligation to repay the amount borrowed from him."
,Ihtikar,احتكار,Hoarding,The prohibited practice of purchasing essential commodities and storing them in anticipation of an increase in price.
,Ihtiyati Ilzami Li Al Bunuk,احتياطي إلزامي للبنوك,Reserve requirements,A central bank regulation that sets the minimum reserves each commercial bank must hold to customer deposits and notes. Also known as cash reserve ratio.
,Ihtiyati Al Mukhatara Fi Al Istithmar,احتياطي المخاطرة في الاستثمار,Investment risk reserve,"A type of reserve utilised by Islamic banks to subsidise the risk of capital loss to unrestricted investment account holders’ (UIAH) in mudaraba based profit sharing investment accounts (PSIA) arising out of ordinary commercial reasons. IRR comprises amounts appropriated out of the income of investment account holders after deduction of the mudarib’s share of income, to meet any future losses on the investments financed by the IAH."
,Ihtiyati Muadalat Al Ribh,احتياطي معادلة الربح,Profit equalisation reserve,"A type of reserve utilised by Islamic banks to minimise fluctuations in the profit distributed to unrestricted investment account holders (UIAH) in mudaraba based profit sharing investment accounts (PSIA) and sometimes to provide distributions comparable to conventional deposit returns, in response to pressures to maintain a competitive rate of return. PER comprises amounts appropriated out of the gross income from the mudaraba to be available for smoothing returns paid to the investment account holders and the shareholders, and consists of a IAH portion and a shareholder’s portion."
,Ijab,إيجاب,Offer,An offer in a contract.
,Ijara,إجارة,"Lease, rent or wage","The sale of a defined usufruct of any asset in exchange for defined compensation. In the context of Islamic finance, it refers to an arrangement under which one party leases equipment, buildings or other facilities to a client for an agreed rent."
,Ijara Mawsoofa Bi Al Dhimma,إجارو موصوفة بالذمة,Lease described with responsibility,"A lease contract where the lessor undertakes to provide a well-defined service or benefit without identifying any particular units of assets rendering the related service. If a unit of the asset is destroyed, the contract is not terminated and the lessor provides another such unit. In contemporary Islamic finance, refers to a form of forward/future lease. A lessee enters into a contract with a lessor to lease an asset in the future. Upon completion/ construction and ownership of the asset by the lessor, it will be leased to the lessee. The lessor will have to repay all advance rentals if the asset was not manufactured or executed according to specifications laid down in the agreement. It is not a requirement of this type of lease that the rent should be paid in advance."
,Ijara Muntahiya Bi Al Tamleek,إجارة منتهية بالتمليك,Lease ending with ownership,See entry: ijara wa iqtina.
,Ijara Wa Iqtina,إجارة و اقتناء,Lease and possess,"Lease-and-purchase transaction; a financing instrument utilised in contemporary Islamic finance in which a financier purchases reusable merchandise (e.g. airplanes, buildings, cars) and then leases them to clients in return for an agreed upon rental fee (to be paid for the length of the lease period) with an additional unilateral undertaking from  the lessor to sell the merchandise at the end of the lease period. The underlying contract is ijara and all rules applicable to ijara have to be observed to ensure Shari’a compliance. Ownership is transferred through a separate contract of sale or gift."
,Ijma,إجماع,Consensus,"The unanimous consensus of the Muslim Ummah on a given issue, usually as represented by the agreement of the jurists. Ijma' has traditionally been recognised as an independent source of law, along with the Qu’ran, Sunnah and Qiyas (analogical deduction), by most of the jurists."
,Ijmali Aqsat At Taamin Al Muktataba,إجمالي اقساط التمليك المكتتبة,Gross written premiums,The total premium written and assumed by an insurer before deductions for reinsurance and ceding commissions.
,Ijtihad,اجتهاد,Juristic interpretation,The process by which a qualified Islamic jurist (mujtahid) endeavours to arrive at the correct ruling on a given issue by reflecting on texts from the fundamental sources of the Shari’a: the Qu’ran and Sunnah. Express injunctions have no room for ijtihad. Implied injunctions can be interpreted in different ways by means of inference from the accepted principles of the Shari’a.
,Iktinaz,اكتناز,Hoarding,"Hoarding essential goods in hopes of profiting from shorter supply and higher demand. Hoarding wealth; for example, hoarding by withholding zakat."
,Iktitab Al Mutajawaz,الاكتتاب المتجاوز,Oversubscribed,When the demand for an initial public offering of securities exceeds the number of shares issued.
,Iman,إيمان,"Conviction, faith or belief","Acceptance and affirmation of Allah, His Books, His Messengers, His Angels, the Hereafter and Divine Decree."
,Infaq,إنفاق,Spending,"(Qur.) Spending, normally in the path of Allah. Among the various praiseworthy types of infaq are spending on one's family, spending in preparation for jihad and feeding and clothing orphans and other underprivileged individuals."
,Iqala,إقالة,Cancellation of a contract,Mutually agreed cancellation of a contract; mutual termination.
,Iqtisad,اقتصاد,Economics,A term used in Modern Standard Arabic to denote the field of economics.
,Ishtirak,اشتراك,Partnering,Contract of partnership.
,Islam,إسلام,Submission to Allah,The worship of Allah (God) alone. Islam is shahadah (testifying that there is no god but Allah and that Muhammad [pbuh] is the Messenger of Allah); establishing salah (prescribed prayer); paying zakat (giving a portion of one's wealth to the needy); the sawm of Ramadan (fasting during the ninth month of the Islamic calendar); and Hajj (making a pilgrimage to the sacred precincts of Mecca once in a lifetime if one is able).
,Israf,إسراف,"Extravagance, waste",Spending on lawful objects but exceeding moderation in quantity and quality; spending on superfluous objects while necessities are unmet; spending on objects that are incompatible with the economic standard of the majority of the population.
,Istihsan,استحسان,Juristic preference,"Doctrine of Islamic jurisprudence that allows exceptions to strict legal reasoning, or guiding choice among possible legal outcomes, when considerations of human welfare so demand."
,Istihwadh,استحواذ,Acquisition,"To seize, to take possession, to acquire."
,Istijrar,استجرار,Continuous purchase or supply contract,"A sale contract between a client and a supplier, whereby the supplier agrees to supply a particular product on an on- going basis, for example monthly, at anagreed price and for payment to be madeby an agreed mode."
,Istisna,استصناع,Manufacturing contract,"A type of sale, similar to salam, in which the price is paid to the manufacturer by the purchaser for specified goods that are subsequently manufactured and delivered on a stipulated date."
,Istithmar,استثمار,Investment capital,"Placing capital into productive enterprises or assets (or part thereof) with the expectation of gain, resulting either through productivity improvements or through the reciept of increased income."
,Ittifaq Miayari Li Hisabat Al Wadae Bi Nidham Al Wakala,اتنفاق معياري لحساب الودائع بنظام الوكالة,Standardised wakala deposit agreement,A Shari’a-compliant investment contract on the basis of investment agency that offers an alternative to the commodity murabaha structure for deposits. See ‘wakala’ or ‘wakala al istithmar’.
,Illah,علة,Occasioning factor/ratio legis,"A feature of a legal situation under consideration by a jurist capable of serving as a starting point for an analogy, qiyas."
,Bay Al Ina,بيع العينة,Sale of appearances,"A sale in which a purchaser buys merchandise from a seller for a stipulated price on a deferred payment basis and then sells the same merchandise backto the original seller for a price lower than the original purchase price on cash basis, the net effect of which is a loan with interest. This practice is allowedin Malaysia but considered an illegal stratagem/trick (hiyal) in all otherjurisdictions."
,Iwad,عوض,Compensation,Recompense or equivalent countervalue in an exchange.
